0,58.8,44,392,12.1,19.3,99.9,-1,210,74.5,9,76,65.6,817,-1,59.4,-1,48,10.8,-1,68.6,-1
58.8,0,110,319,68.1,80.1,43.4,898.3,152,43.1,48.6,33,32.1,883,-1,54.2,436,60,52.4,-1,9.7,-1
44,110,0,421,36.5,31.5,148,789.4,227,105,56.1,114,101,-1,-1,88.8,323,67,51.3,-1,129,-1
392,319,421,0,406,408.2,283,1210,243,333,367,329,334,-1,290,346.6,744,384,371,-1,307,-1
12.1,68.1,36.5,406,0,10.3,133,825.1,-1,84.4,19.3,93.2,68.1,810,186,73.7,359,46,16.1,-1,77.9,-1
19.3,80.1,31.5,408.2,10.3,0,138,-1,198,-1,24.9,84.8,71.4,805,178,88.4,358,-1,20.3,-1,90,-1
99.9,43.4,148,283,133,138,0,935.9,-1,62.8,-1,-1,64,921,136,73.5,470,115,96.4,-1,-1,-1
-1,898.3,789.4,1210,825.1,-1,935.9,0,1015,893,847,902,910,76,995,877.4,656,856,855,-1,-1,-1
210,152,227,243,-1,198,-1,1015,0,128,200,127,-1,1000,84,179.5,554,175,200,-1,139,-1
74.5,43.1,105,333,84.4,-1,62.8,893,128,0,67,9.8,3.8,878,132,84.1,432,53,70.9,-1,41.4,-1
9,48.6,56.1,367,19.3,24.9,-1,847,200,67,0,65.6,60.2,832,178,49.5,377,37,5.2,-1,58.5,-1
76,33,114,329,93.2,84.8,-1,902,127,9.8,65.6,0,12,887,125,85.7,441,62,69.4,-1,37.7,-1
65.6,32.1,101,334,68.1,71.4,64,910,-1,3.8,60.2,12,0,880,134,80.3,434,55,54.5,-1,43.5,-1
817,883,-1,-1,810,805,921,76,1000,878,832,887,880,0,980,862.4,-1,840,824,-1,902,-1
-1,-1,-1,290,186,178,136,995,84,132,178,125,134,980,0,200.6,534,155,179,682,135,-1
59.4,54.2,88.8,346.6,73.7,88.4,73.5,877.4,179.5,84.1,49.5,85.7,80.3,862.4,200.6,0,412,90,-1,557.7,55.1,-1
-1,436,323,744,359,358,470,656,554,432,377,441,434,-1,534,412,0,394,374,312,452,-1
48,60,67,384,46,-1,115,856,175,53,37,62,55,840,155,90,394,0,-1,542,69.6,-1
10.8,52.4,51.3,371,16.1,20.3,96.4,855,200,70.9,5.2,69.4,54.5,824,179,-1,374,-1,0,522,61.8,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,682,557.7,312,542,522,0,-1,-1
68.6,9.7,129,307,77.9,90,-1,-1,139,41.4,58.5,37.7,43.5,902,135,55.1,452,69.6,61.8,-1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
